13x4-nsp [dropping] [1],13x4-nsp [dropping] [1] [acc],13x4-nsp [dropping] [2],13x4-nsp [dropping] [2] [acc],13x4-nsp [dropping] [3],13x4-nsp [dropping] [3] [acc],21x2 [dropping] [1],21x2 [dropping] [1] [acc],21x2 [dropping] [2],21x2 [dropping] [2] [acc],21x2 [dropping] [3],21x2 [dropping] [3] [acc],13x4-nsp [adding] [1],13x4-nsp [adding] [1] [acc],13x4-nsp [adding] [2],13x4-nsp [adding] [2] [acc],13x4-nsp [adding] [3],13x4-nsp [adding] [3] [acc],21x2 [adding] [1],21x2 [adding] [1] [acc],21x2 [adding] [2],21x2 [adding] [2] [acc],21x2 [adding] [3],21x2 [adding] [3] [acc]
drop(SFPQ),66.73528195593859,drop(RC3H1),65.16848194415208,drop(RBMS3),67.36649732977456,drop(TRNAU1AP),65.9705277407195,drop(KHSRP),64.42607113825693,drop(SRSF9),65.58431351289167,add(HNRNPA0),77.47972694834176,add(RBFOX2),78.70461137267073,add(HNRNPL),77.79155210261175,add(SRSF5),76.71460881598745,add(HNRNPL),76.66274511032115,add(RBMS3),76.43999032906754
drop(CNOT4),65.8444447894918,drop(TARDBP),65.50993656990501,drop(HNRNPDL),66.9433311765913,drop(SFPQ),65.53996635023667,drop(HNRNPF),64.35169419527026,drop(SRSF11),65.36900249122232,add(HNRNPH2),78.69739809393879,add(RC3H1),77.99944362583919,add(SRSF10),78.78671107837867,add(TAF15),76.44759178607707,add(RBMS2),77.07113291947647,add(SRSF10),77.13067086557933
drop(PTBP3),66.6316515891754,drop(IGF2BP1),65.79975797084393,drop(SRSF8),65.99279836661638,drop(CNOT4),65.03487031934192,drop(IGF2BP1),64.09184192180713,drop(DAZ3),64.27755986370708,add(ZFP36),77.55409176075725,add(HNRNPL),78.29642978322538,add(RC3H1),78.02172638230725,add(SFPQ),77.08600830807381,add(PABPN1L),76.41021529073053,add(RBFOX3),76.78149347710516
drop(HNRNPD),64.7677319837198,drop(TIA1),64.9162189971273,drop(SRSF11),65.2801383379159,drop(FUS),63.74283436132939,drop(TARDBP),62.85927112647043,drop(PABPN1L),63.94370669496369,add(SRSF10),77.93238913672505,add(HNRNPA0),77.39800329034023,add(KHSRP),77.95512072432655,add(FUBP3),77.2346894106201,add(EWSR1),74.93259482710098,add(UNK),76.71480290512622
drop(ZNF326),63.43113051277116,drop(RBM25),63.51280564848798,drop(RBM6),64.6341810117655,drop(ILF2),62.30227499819585,drop(SFPQ),62.01285390610567,drop(CNOT4),63.31247919055654,add(TIA1),78.13316442578993,add(SRSF9),77.98450758438598,add(CPEB1),78.97225919228217,add(SF1),76.4177924865977,add(PUF60),75.94270197489227,add(RBM47),76.95979192056319
drop(RBMS3),62.45859394946519,drop(CNOT4),62.711002463344066,drop(TIA1),63.22321472840136,drop(ZNF326),61.79014764713677,drop(CELF1),62.673686620853395,drop(HNRNPA1),62.547494494485136,add(RC3H1),78.51171654375236,add(IGF2BP2),78.14786998639083,add(TIA1),78.6750789457572,add(HNRNPC),76.43248591662743,add(FUBP3),76.43263148348152,add(TAF15),77.0636527681787
drop(SRSF8),61.203582700235145,drop(HNRNPA2B1),62.07961726151166,drop(CNOT4),63.06002215439297,drop(RBM6),61.38156574884266,drop(SRSF9),61.47811627315682,drop(TRA2A),62.09444412782429,add(UNK),79.04639352384535,add(RBM47),78.30380075938258,add(UNK),78.02167786002256,add(UNK),76.64791824400852,add(KHDRBS2),76.71459668541627,add(TIA1),77.50912593897237
drop(RBM15B),60.981070530405034,drop(HNRNPA1),59.56976459104801,drop(ILF2),60.75052020300312,drop(HNRNPK),59.14667122129179,drop(TRA2A),58.85711669291869,drop(HNRNPA2B1),58.99799011874549,add(RBM22),78.25934442158702,add(TAF15),77.80658518863434,add(RBM22),78.21480316979323,add(SRSF10),76.52173824821142,add(SRSF5),76.4771727352753,add(FUBP3),76.61083288237016
drop(ILF2),59.23562028859644,drop(ZNF326),58.91656972502333,drop(ZNF326),59.414112821193264,drop(DAZAP1),57.654029802210815,drop(RBMS3),57.50550639708979,drop(ZCRB1),57.31266009045613,add(TRNAU1AP),78.00694803827932,add(UNK),77.50194905195396,add(RALY),78.70490250637891,add(RBM22),76.3881508845436,add(HNRNPDL),76.02420728261266,add(PUM1),76.93750916409515
drop(TRA2A),56.32523600798165,drop(ZCRB1),57.41652093807163,drop(SRSF2),56.71134106066891,drop(TRA2A),55.94624718945693,drop(SRSF2),55.65669266108384,drop(RBM25),55.31505607676331,add(SRSF4),78.58605709502551,add(RBFOX3),77.86573495645963,add(RBM47),78.25944146615642,add(PUM1),76.88574250299823,add(RBM4),76.84815978794174,add(ZFP36),76.52159268135733
drop(ZCRB1),54.728697349571654,drop(SRSF8),55.07760786547999,drop(ZCRB1),54.78070662209203,drop(HNRNPA1),53.859912458740624,drop(ZCRB1),52.508496252050506,drop(DAZAP1),54.09687544717696,add(RALY),78.28903454592582,add(TRNAU1AP),78.05142863721724,add(TAF15),78.1183254289061,add(SNRPA),76.18776377375629,add(TIA1),76.86337483253195,add(HNRNPCL1),76.55872656528038
drop(SRSF2),50.88231599158641,drop(TRA2A),50.93405839154096,drop(TRA2A),51.03075448270922,drop(ZCRB1),51.64702168452081,drop(HNRNPA1),51.20154851372713,drop(HNRNPK),51.61706468761618,add(RBM4B),78.34110447130207,add(ZFP36),78.41523880286525,add(TRNAU1AP),78.0662797646722,add(TRNAU1AP),76.25461204316049,add(TRNAU1AP),76.89293152058782,add(MBNL1),76.2172112866716
drop(RBM6),48.21647189527515,drop(RBM6),48.1797140590585,drop(RBM23),48.32036913460417,drop(SRSF2),48.67685684637968,drop(HNRNPK),48.6324126391553,drop(SRSF2),48.36487399468443,add(RBM47),78.63813915097295,add(RBM15B),77.39045035561541,add(RBFOX2),77.49454168408323,add(DAZ3),77.3161461960558,add(TAF15),76.49180551244913,add(RBM22),76.78911919525703
