,,EIF4G2,EWSR1,FUS,HNRNPA1,HNRNPC,HNRNPK,HNRNPL,IGF2BP1,IGF2BP2,KHSRP,PCBP1,PUM1,RBFOX2,RBM22,TAF15,TARDBP,TIA1,TRA2A
AM_4,introns,0.05061626254269269,0.01993792908868608,-0.04312624804597576,-0.08838414147614382,-0.03572814934667945,-0.0714285714285714,-0.07969453873174959,-0.06338325965135361,-0.2149052134222672,-0.2341529310266539,-1.0,-0.11954947707160113,-0.010827819072250944,,-0.03710036476772871,-0.0008842856805639787,0.00855533554087562,0.3302704267335086
AM_4,exons,0.16591157631620068,0.11891891891891904,0.10378478664192947,-0.16161040067615395,0.2150055991041433,0.16666666666666652,-0.18616859733611013,0.20065075921908893,-0.04163744740532971,-0.3017251258700119,,-0.2338709677419355,0.011940902651285112,,-0.09406565656565669,0.17468977321352175,0.032055844314562876,0.2545787545787548
AM_5,all,0.031249999999999778,0.1576789970410053,0.33901179438232854,0.013913609048160414,0.09812300834423171,0.08499034538194716,0.06262203345793171,-0.14062065440441385,-0.06250000000000011,0.08369004565699178,,-0.1709342341088953,-0.04049382716049399,0.048128342245989275,-0.04830805013030981,0.04517477523507041,0.009581473735966073,0.38192524321556576
AM_5,introns,0.11111111111111116,0.17431933548684841,0.2964935017083614,0.017228011303426438,0.11641741024674301,0.12787367944217065,0.060657023146602373,-0.056203858061443346,-0.06250000000000011,0.08048909803533055,,-0.15869165356009918,-0.030020159841627758,-0.19191919191919193,-0.06535423197492163,0.04534790659720067,0.010930418555052057,0.35559911858872706
AM_5,exons,0.0,-0.08496732026143783,-0.015131356409967212,0.16569562146892647,-0.257142857142857,0.022372308991135403,0.14623310331789385,0.079528590135312,0.0,0.15369470004419994,,-0.2412903225806451,-0.08906882591093124,0.33333333333333326,-0.0010683760683761756,0.24796049021401134,0.015287128712871079,0.3054063420551032
AM/sai_1,all,-0.17304913294797697,0.08907341505206268,0.1986276645278715,0.00553439697258562,0.04907975460122693,-0.19999999999999996,0.057098252473680056,-0.14484649122807014,-0.3414328382747849,-0.05564361744133395,0.26086956521739135,-0.19510965924270762,-0.03433994254226902,-1.0,0.017549320985252415,-0.004908327686168001,-0.07570422535211285,0.3226673927751551
AM/sai_1,introns,-0.03024746366876896,0.097328062488093,0.16128114327358523,0.009581466366515023,0.04063678257226644,-0.375,0.05891373110274545,-0.04027984269339613,-0.32519067094064324,-0.05673610043126731,0.0,-0.03428930381666162,-0.017879554354805482,,0.020316377171215816,-0.00650599268915375,-0.08270676691729328,0.3169067369779457
AM/sai_1,exons,-0.18947368421052635,-0.05313736574335781,0.08223578541599741,0.12082567401960809,1.2857142857142856,,0.21345191773207328,0.08763835956162591,-0.14310197086546694,-0.046869534802378654,,-0.19546903460837883,-0.10572687224669608,,-0.12763157894736854,0.045812664137729664,0.2500000000000002,0.1908137645842567
AM/sai_2,all,0.2610693069306933,0.33333333333333326,-0.15592143149492266,0.01491427525180744,,0.4366385365707852,-0.02744186046511654,-0.15296913494741216,-0.3087836845043933,0.035075280274251774,,-0.18781478383375894,-0.04956330806408071,-1.0,-0.06710533219346149,0.009920221127238449,-0.004236238928283398,0.43246445497630326
AM/sai_2,introns,0.2584332998643626,0.33333333333333326,-0.13005574673007425,0.02154404044522895,,0.4931982633863965,-0.029569892473118142,-0.07266550909814673,-0.24885958872886982,0.03675153701817013,,-0.16717861727489447,-0.03925209117407291,,-0.08419240334133937,0.017641094964514936,-0.005286677069154422,0.41808481991109203
