,metric,context,cluster,first,second,metric value
175,top 64 5mer overlap,LM,14,LM7,RBM3,0.140625
176,top 64 5mer overlap,LM,14,LM2,-,-
177,top 64 5mer overlap,LM,14,LM90,-,-
178,top 64 5mer overlap,LM,15,LM11,SF1,0.40625
179,top 64 5mer overlap,LM,15,LM12,PTBP1,0.578125
180,top 64 5mer overlap,LM,15,LM16,KHSRP,0.453125
181,top 64 5mer overlap,LM,15,LM17,DAZ3,0.375
182,top 64 5mer overlap,LM,15,LM23,BRUNOL4,0.390625
183,top 64 5mer overlap,LM,15,LM52,PTBP3,0.203125
184,top 64 5mer overlap,LM,15,LM53,ZCRB1,0.359375
185,top 64 5mer overlap,LM,15,LM63,QKI,0.296875
186,top 64 5mer overlap,LM,15,LM66,CELF1,0.328125
187,top 64 5mer overlap,LM,15,LM84,PCBP3_mm,0.3125
188,top 64 5mer overlap,LM,15,LM85,ZNF638,0.21875
189,top 64 5mer overlap,LM,15,LM39,-,-
190,top 64 5mer overlap,LM,15,LM47,-,-
191,active position I/U,LM,1,LM13,HNRNPA2B1,0.03207371121996734
192,active position I/U,LM,1,LM14,RBM28,0.07330037082818294
193,active position I/U,LM,1,LM15,PCBP2,0.12764218147845383
194,active position I/U,LM,1,LM21,MSI1,0.08021612635078969
195,active position I/U,LM,1,LM22,UNK,0.13216191845587696
196,active position I/U,LM,1,LM25,RBMS3,0.011167446129638534
197,active position I/U,LM,1,LM37,HNRNPF,0.05001768659356208
198,active position I/U,LM,1,LM41,HNRNPA1,0.034593828512529796
199,active position I/U,LM,1,LM45,PPP1R10,0.014181259314456036
200,active position I/U,LM,1,LM50,RBM25,0.029872891834413176
201,active position I/U,LM,1,LM55,HNRNPA1L2,0.2219698780779345
202,active position I/U,LM,1,LM6,HNRNPAB_tn,0.014303988835911153
203,active position I/U,LM,1,LM72,SAFB2,0.022258064516129033
204,active position I/U,LM,1,LM77,NSUN2,0.024632670700086432
205,active position I/U,LM,1,LM89,PUF60,0.039231465647319184
206,active position I/U,LM,1,A1CF,-,-
207,active position I/U,LM,1,ESRP1,-,-
208,active position I/U,LM,1,ESRP2,-,-
209,active position I/U,LM,1,HNRNPL,-,-
210,active position I/U,LM,1,HNRPLL,-,-
211,active position I/U,LM,1,IGF2BP1,-,-
212,active position I/U,LM,1,IGF2BP3,-,-
213,active position I/U,LM,1,KHDRBS1,-,-
214,active position I/U,LM,1,KHDRBS1_mm,-,-
215,active position I/U,LM,1,KHDRBS2,-,-
216,active position I/U,LM,1,PABPC4,-,-
217,active position I/U,LM,1,PCBP4,-,-
218,active position I/U,LM,1,PUM1,-,-
219,active position I/U,LM,1,Pcbp2_dr,-,-
220,active position I/U,LM,1,RBMS1,-,-
221,active position I/U,LM,1,RBMS2,-,-
222,active position I/U,LM,1,SNRPA,-,-
223,active position I/U,LM,1,ZC3H18,-,-
224,active position I/U,LM,2,LM38,PABPN1,0.0006064281382656155
225,active position I/U,LM,2,LM67,RBM22,0.0065111231687466084
226,active position I/U,LM,2,LM8,ZC3H10,0.0025113008538422904
227,active position I/U,LM,2,LM94,Rbm4.3_dr,0.023583815028901733
228,active position I/U,LM,2,LM10,-,-
229,active position I/U,LM,2,LM69,-,-
230,active position I/U,LM,6,LM20,FXR2,0.006711409395973154
231,active position I/U,LM,6,LM3,RBM23,0.02071289352845958
232,active position I/U,LM,6,LM35,SRSF2,0.05603910016068559
233,active position I/U,LM,6,LM4,RBFOX3,0.02009044406553488
234,active position I/U,LM,6,LM40,PABPC5,0.05645277577505407
235,active position I/U,LM,6,LM42,RBM45,0.01355902927713965
236,active position I/U,LM,6,LM44,HNRNPK,0.01928087545596665
237,active position I/U,LM,6,LM56,SRSF9,0.02106008317847978
238,active position I/U,LM,6,LM70,RBM47_gg,0.04889910690600407
