,output_21x2 A,output_21x2 D,output_21x2 B,output_13x4 A,output_13x4 D,output_13x4 B
ILF2,0.01632647011510923,0.01542266596529634,0.002933025119650331,0.024294136846161513,0.025434070536571513,0.004736857079718381
KHDRBS2,0.02522999619674311,0.02261509047198603,0.006650542542105377,0.03368380693272044,0.03277357509803815,0.01149547681240127
KHDRBS3,0.021373322936433972,0.01479965517413216,0.006247686137873067,0.026374173030927532,0.01600031655983097,0.009011706362310218
KHSRP,0.023048196479832365,0.018599923158374082,0.007260984712571914,0.0221717174609919,0.019197469250028736,0.008685871836171994
MBNL1,0.03215098500635481,0.030657120012204928,0.006887718749804271,0.03231769784957909,0.04519479713954109,0.008867504856328243
MSI1,0.01756906181011392,0.01566043022448928,0.004137869393213505,0.017186651046293203,0.016147773593307293,0.004310573399153382
NOVA1,0.025420952912297425,0.02093366390424011,0.00598726889241829,0.024807900535462904,0.024467841998582814,0.01058899889314931
NUPL2,0.026644711679168095,0.0196706731190518,0.004327474703178384,0.036677740860488306,0.03435485470230301,0.0068369039522520455
PABPN1L,0.013969251748626586,0.015512354324909902,0.0021771299417474056,0.02855540319291239,0.029426012772855347,0.005238108355860341
PCBP1,0.06183387174562607,0.05015985966416759,0.006899463215109941,0.0419590930419845,0.07663808227759586,0.0105377897374503
PCBP2,0.030048059679163887,0.024785031667297244,0.017483222424861704,0.02429622391605057,0.019976564020011234,0.006622511430803781
PCBP4,0.04075100734899387,0.02241074854240225,0.004043886907987378,0.025583886326265827,0.022938828012117447,0.006237567662945785
PRR3,0.022393569435749,0.017989783912687015,0.00496368439534455,0.02974957864177955,0.030207799042888415,0.00996215108395276
PTBP3,0.029040034086944007,0.017748274832292434,0.0094631028027639,0.03378413427755984,0.02191502256480865,0.010738160322725282
PUF60,0.030066544611119714,0.010500161039662673,0.008590314315889046,0.021808880771335908,0.020916154275060692,0.006528444814490514
PUM1,0.02743648765502439,0.01884694288258094,0.0037560298997651523,0.020010621247632896,0.02196602354351611,0.00499868571853991
RALY,0.0237813985876957,0.027151094560883438,0.003767287595895467,0.021672409307373925,0.01635010782384758,0.006063929762954062
RBFOX2,0.03636926913507419,0.04027841880362138,0.005649423122405888,0.05232250845171974,0.05901607483939049,0.011952713496972727
RBFOX3,0.0290159369713053,0.039683990282932985,0.004948690330434489,0.038223428120567095,0.039586247470285406,0.007477180017937424
RBM15B,0.017156131915242716,0.01251441273939027,0.005435354523606046,0.015437736626596088,0.013483276161565994,0.005912033979301526
RBM22,0.29504665797345964,0.22005243303192765,0.01399036858749199,0.23700579800483884,0.09388088295803153,0.04667461323603554
RBM23,0.0011371373106825447,0.008986174411150447,0.001536353154597662,0.035728242296679875,0.0321368422467169,0.009921859319569867
RBM24,0.023758192356279902,0.015810378415201096,0.006989042231294311,0.021426112798926596,0.030385969943535828,0.004273737595464723
RBM25,0.013667639991274719,0.011801535949130793,0.0017997394200646615,0.023105095688229063,0.02418885423412028,0.004450242356999343
RBM4,0.015868051941970076,0.013356077542127065,0.0032334419841432067,0.02313606878409646,0.02427860961858068,0.00538126614330556
