,13x4,13x4+BS,21x2,21x2+BS,Improvement 13x4,Improvement 21x2
HNRNPCL1,0.0007825742574257426,0.0010694059405940595,0.0004187128712871287,0.0023132673267326734,0.36652327935222684,4.524710333412155
HNRNPD,0.0029498019801980197,0.0011533663366336633,0.003076138613861386,0.003469207920792079,-0.6090021145906757,0.12778010235282755
HNRNPDL,0.0027702970297029702,0.001252871287128713,0.0030714851485148516,0.003221782178217822,-0.5477483917083631,0.04893301527947913
HNRNPF,0.002347029702970297,0.0011282178217821783,0.0018105940594059407,0.0015971287128712871,-0.5192997257962455,-0.11789796029966648
HNRNPH2,0.00024564356435643564,0.0007986138613861386,0.0011616831683168318,0.0012543564356435643,2.2511084240225716,0.07977499360777274
HNRNPK,0.002737029702970297,0.001332871287128713,0.0023656435643564355,0.0010631683168316833,-0.5130227174070323,-0.550579667685096
HNRNPL,0.0007235643564356436,0.0008063366336633663,0.0012288118811881188,0.001827920792079208,0.11439518336070043,0.48755136572395474
IGF2BP1,0.003203960396039604,0.0011375247524752475,0.002437128712871287,0.001870990099009901,-0.6449629171817058,-0.23229737964655683
IGF2BP2,0.0011627722772277228,0.0004942574257425742,0.001759108910891089,0.001812079207920792,-0.5749318801089919,0.030112005403275743
ILF2,0.002647029702970297,0.0011613861386138614,0.002930792079207921,0.0009646534653465346,-0.5612492986721526,-0.6708557143339753
KHDRBS2,0.0028986138613861386,0.001231881188118812,0.0029406930693069307,0.0029615841584158414,-0.5750102473015439,0.007104137907814501
KHDRBS3,0.0005159405940594059,0.0015205940594059406,8.108910891089108e-05,9.841584158415841e-05,1.9472270197658799,0.2136752136752138
KHSRP,0.002472178217821782,0.0012231683168316832,0.0030997029702970295,0.0028110891089108913,-0.5052264808362369,-0.09311016705529107
MBNL1,0.0008704950495049505,9.247524752475247e-05,1.6138613861386138e-05,1.099009900990099e-05,-0.8937670609645132,-0.3190184049079754
MSI1,0.002999009900990099,0.0010360396039603961,0.0021078217821782178,0.003573168316831683,-0.6545394519643446,0.6951947014890318
NOVA1,0.0012378217821782179,0.000626930693069307,0.0011585148514851485,0.0015205940594059406,-0.4935210366341385,0.31253738996666947
NUPL2,0.0019567326732673265,0.0008906930693069307,0.0022193069306930694,0.0014646534653465347,-0.544805950513586,-0.34004015168414004
PABPN1L,0.003130990099009901,0.0016122772277227723,0.0032066336633663367,0.0019467326732673267,-0.48505834361066313,-0.39290456047179423
PCBP1,3.237623762376238e-05,0.0010068316831683168,8.97029702970297e-05,1.930693069306931e-05,30.09785932721712,-0.7847682119205297
PCBP2,0.0008265346534653466,0.00043207920792079206,0.0013595049504950495,3.782178217821782e-05,-0.47724005749880216,-0.9721797392760906
PCBP4,0.0013562376237623763,1.0396039603960395e-05,1.6336633663366337e-05,0.0012345544554455445,-0.9923346473937801,74.56969696969696
PRR3,0.0025645544554455447,0.001665049504950495,0.002302772277227723,0.0026140594059405942,-0.3507451162072427,0.1351792931464444
PTBP3,0.0025195049504950495,0.0010292079207920792,0.00264990099009901,0.0028062376237623764,-0.5915039100876331,0.058997160364669066
PUF60,0.0012806930693069307,0.00014465346534653465,0.00014514851485148515,5.98019801980198e-05,-0.8870506378044066,-0.5879945429740792
PUM1,0.0030072277227722773,0.00010207920792079208,3.3267326732673264e-05,8.712871287128713e-05,-0.9660553781318935,1.6190476190476195
RALY,0.0003382178217821782,0.00045,0.0018070297029702971,0.0018613861386138613,0.330503512880562,0.03008054353186118
RBFOX2,0.00036415841584158415,0.0006796039603960396,0.00010316831683168316,0.00010633663366336633,0.8662316476345839,0.030710172744721653
RBFOX3,0.0010706930693069306,0.0009761386138613862,0.0007368316831683168,0.0009776237623762376,-0.08831144812280367,0.32679387261488846
RBM15B,0.0017685148514851486,0.0009752475247524752,0.0027056435643564355,0.003311980198019802,-0.44854999440152277,0.22410070626120682
RBM22,4.158415841584158e-06,0.0008468316831683169,1.2871287128712871e-05,0.0008378217821782178,202.64285714285717,64.09230769230768
RBM23,0.0013914851485148515,0.001023069306930693,1.7524752475247524e-05,0.0009103960396039604,-0.26476447986338414,50.94915254237288
RBM24,0.003150792079207921,0.0011015841584158415,0.002383168316831683,0.0022203960396039602,-0.650378656946234,-0.06830078936435402
RBM25,0.002438019801980198,0.0010496039603960397,0.002485940594059406,0.0013974257425742574,-0.5694850552306692,-0.43786840847538644
RBM4,0.0031091089108910893,0.001482079207920792,0.0027554455445544554,0.0008167326732673267,-0.5233106171581429,-0.7035932446999641
RBM41,0.002528910891089109,0.0010062376237623763,0.0016569306930693068,0.0005924752475247525,-0.6021063346644742,-0.6424260531819539
