,LM1,LM2,LM3,LM4,None
SF1,0.25235457063711914,0.03518005540166205,0.022437673130193906,0.9997229916897507,0.0
SFPQ,0.4258521469676848,0.3405425915386075,0.06393473724151015,0.41225573894896606,0.18554354012521346
SNRPA,0.024880889359449442,0.18369507676019056,0.14981471678136582,0.017469560614081527,0.6506087877183696
SRSF10,0.05815858453473132,0.43889252948885976,0.2767038007863696,0.06847968545216251,0.2971821756225426
SRSF11,0.019434079601990048,0.30768034825870644,0.47652363184079605,0.1572605721393035,0.2622823383084577
SRSF2,0.020203627107858734,0.08343938911867642,0.5913935730194082,0.07301940820871779,0.3396436525612472
SRSF4,0.01841993185689949,0.2622444633730835,0.4711456558773425,0.05366269165247019,0.31793015332197616
SRSF5,0.13698094772838298,0.4447484123106986,0.14518808011724474,0.16658524670249145,0.29477283829995116
SRSF8,0.029366005445352002,0.21227148969272655,0.529171528588098,0.09636328276935044,0.2909373784519642
SRSF9,0.011030570438071227,0.3746191826872571,0.5510032566446055,0.09171131421367791,0.19770984347095283
TAF15,0.016542597187758478,0.07940446650124068,0.8784119106699751,0.16129032258064516,0.0827129859387924
TARDBP,0.254200146092038,0.37640613586559535,0.18466033601168738,0.3329437545653762,0.19225712198685174
TIA1,0.9249356308179837,0.07268766092295503,0.0006601967386281111,0.2644748134944213,0.021984551396316103
TRA2A,0.02204917315600665,0.0989587890454108,0.7345349549391897,0.31726310263365126,0.14401959926502758
TRNAU1AP,0.8173634317670327,0.09159107958807886,0.005865102639296188,0.2483120780195049,0.06349314601377617
UNK,0.83206106870229,1.0,0.015267175572519083,0.3053435114503817,0.0
ZCRB1,0.37763476157567377,0.09295093296475467,0.010495853489979268,0.9497667588113339,0.021034899792674498
ZFP36,0.8488087965791081,0.04978619425778864,0.0021380574221136223,0.31154551007941356,0.020464263897373245
ZNF326,0.029286222433009247,0.1631491581693147,0.6267488736068295,0.11299502015650938,0.24187811240218166
